Team1,Team2
DD,RCB
DD,DC
DD,CSK
DD,KKR
DD,KXIP
DD,MI
DD,KTK
DD,PW
DD,RR
DD,GL
DD,RPS
DD,SRH
RCB,DC
RCB,CSK
RCB,KKR
RCB,KXIP
RCB,MI
RCB,KTK
RCB,PW
RCB,RR
RCB,GL
RCB,RPS
RCB,SRH
DC,CSK
DC,KKR
DC,KXIP
DC,MI
DC,KTK
DC,PW
DC,RR
DC,GL
DC,RPS
DC,SRH
CSK,KKR
CSK,KXIP
CSK,MI
CSK,KTK
CSK,PW
CSK,RR
CSK,GL
CSK,RPS
CSK,SRH
KKR,KXIP
KKR,MI
KKR,KTK
KKR,PW
KKR,RR
KKR,GL
KKR,RPS
KKR,SRH
KXIP,MI
KXIP,KTK
KXIP,PW
KXIP,RR
KXIP,GL
KXIP,RPS
KXIP,SRH
MI,KTK
MI,PW
MI,RR
MI,GL
MI,RPS
MI,SRH
KTK,PW
KTK,RR
KTK,GL
KTK,RPS
KTK,SRH
PW,RR
PW,GL
PW,RPS
PW,SRH
RR,GL
RR,RPS
RR,SRH
GL,RPS
GL,SRH
RPS,SRH
